scientific_name,common_name,family,subfamily,tribe,genus,specific_epithet,BM_kg,percent_grass,diet_category,habitat,ref,max_BM_kg_animaldiversity,max_BM_kg_castello,HL_male_cm,HL_female_cm,BM_Lemaitre_etal,male_antler_weight_g,max_BM,interspecific_GM,intraspecific_GM,animaldiversity
Moschiola_meminna,Indian chevrotain,Tragulidae,Tragulinae,Tragulini,Moschiola,meminna,2.45,2,BR,,Mendoza et al (2006),,,,,,",",2.45,,,https://animaldiversity.org/accounts/Moschiola_meminna/
Moschiola_indica,Indian chevrotain,Tragulidae,Tragulinae,Tragulini,Moschiola,indica,2.45,2,BR,,,,,,,,,2.45,,,https://animaldiversity.org/accounts/Moschiola_indica/
Tragulus_napu,greater mouse-deer,Tragulidae,Tragulinae,Tragulini,Tragulus,napu,4,0,BR,,Schiviz et al (2008),,,,,,,4,,,https://animaldiversity.org/accounts/Tragulus_napu/
Tragulus_kanchil,lesser mouse-deer,Tragulidae,Tragulinae,Tragulini,Tragulus,kanchil,2.4,,,,http://www.ultimateungulate.com/Artiodactyla/Tragulus_kanchil.html,,,,,,,2.4,,,https://animaldiversity.org/accounts/Tragulus_kanchil/
Tragulus_javanicus,lesser mouse-deer,Tragulidae,Tragulinae,Tragulini,Tragulus,javanicus,2.25,10,BR,,Clauss et al (2007 CBP),,,,,,,2.25,,,https://animaldiversity.org/accounts/Tragulus_javanicus/
Hyemoschus_aquaticus,water chevrotain/fanged deer,Tragulidae,Tragulinae,Tragulini,Hyemoschus,aquaticus,10.85,0,BR,Closed,Mendoza et al (2006),,,,,,,10.85,,,https://animaldiversity.org/accounts/Hyemoschus_aquaticus/
Muntiacus_reevesi,Reeve's muntjac,Cervidae,Cervinae,Muntiacini,Muntiacus,reevesi,13.5,10,BR,Closed,Schiviz et al (2008),,,11.4,,13.5,70,13.5,,,https://animaldiversity.org/accounts/Muntiacus_reevesi/
Muntiacus_muntjak,Indian muntjac,Cervidae,Cervinae,Muntiacini,Muntiacus,muntjak,14,10,BR,Closed,Sacher and Staffeldt (1974),,,14.2,,19,,19,,,https://animaldiversity.org/accounts/Muntiacus_muntjak/
Muntiacus_feae,Fea's muntjac,Cervidae,Cervinae,Muntiacini,Muntiacus,feae,22,,,,AD,22,,,,,,22,,,https://animaldiversity.org/accounts/Muntiacus_feae/
Muntiacus_crinifrons,black muntjac,Cervidae,Cervinae,Muntiacini,Muntiacus,crinifrons,28.5,,,,AD,28.5,,3.55,,23,,28.5,,,https://animaldiversity.org/accounts/Muntiacus_crinifrons/
